state,county,primary_city,dropbox,address,city,zip,phone,description
WA,Mason,NA,Kamilche Area Fire District No. 4 Station,3660 SE Old Olympic Hwy,Shelton,98584,NA,NA
WA,Mason,NA,Mason County Auditor's Office Drop Box,411 N 5th Street,Shelton,98584,NA,Ballot drop box is available 24 hours a day.
WA,Mason,NA,Port of Allyn,18560 E State Route 3,Allyn,98524,NA,NA
WA,Mason,NA,Shelton Timberland Regional Library,710 W Alder St,Shelton,98584,NA,NA
WA,Mason,NA,Union Chevron Station,1031 E McReavy Rd,Union,98592,NA,NA
WA,Okanogan,NA,Coulee Dam,300 Lincoln Ave,Coulee Dam,99116,NA,By City Hall
WA,Okanogan,NA,Okanogan County Auditor's Office Drop Box,149 3rd Ave N,Okanogan,98840,NA,Room 104 1st floor
WA,Okanogan,NA,Omak,8 N Ash,Omak,98841,NA,Next to Omak Police Station.
WA,Okanogan,NA,Pateros,180 Pateros Mall,Pateros,98846,NA,In parking lot.
WA,Okanogan,NA,Tonasket,209 S Whitcomb,Tonasket,98855,NA,In front of City Hall/Library.
WA,Okanogan,NA,Twisp,118 S Glover St,Twisp,98856,NA,By City Hall
WA,Pacific,NA,Bay Center,Park St,Bay Center,98527,NA,Located by County Park Entrance
WA,Pacific,NA,Chinook Community Center,810 Highway 101,Chinook,98614,NA,Located in Community Center Parking Lot
WA,Pacific,NA,Long Beach Annex Drop Box,7013 Sandridge Rd,Long Beach,98631,NA,First parking lot
WA,Pacific,NA,Naselle,797 SR 4,Naselle,98638,NA,WSP Parking Lot
WA,Pacific,NA,Pacific County Courthouse Drop Box,300 Memorial Drive,South Bend,98586,NA,Ballots are accepted until 8 PM on election day.
WA,Pacific,NA,Raymond,211 Commercial St,Raymond,98577,NA,In parking lot next to Dept. of Public Works.
WA,Pend Oreille,NA,Between Ione Public Library and Community Center,112 S Central Ave,Ione,99139,NA,NA
WA,Pend Oreille,NA,Cusick Library,107 S 1st Ave,Cusick,99119,NA,Located inside the Library.
WA,Pend Oreille,NA,Pend Oreille County Court House Drop Box,625 West 4th St,Newport,99156,NA,Located in the alley behind the Court House
WA,Pierce,NA,72nd St Transit Center,1319 E 72nd St,Tacoma,98404,NA,Drop Box
WA,Pierce,NA,Anderson Island Ferry Landing Park & Ride,Yoman Rd near Villa Beach Road,Anderson Island,98303,NA,Drop Box
WA,Pierce,NA,Ashford County Park,29801 SR 706,Ashford,98304,NA,Drop Box
WA,Pierce,NA,Barney's Corner,40512 Meridian E,Eatonville,98328,NA,Drop Box
WA,Pierce,NA,Bonney Lake South Park & Ride,184th Ave E & Sky Island Dr E,Bonney Lake,98391,NA,Drop Box
WA,Pierce,NA,Browns Pt NE Tacoma Police Substation,4731 Norpoint Way NE,Browns Point,98422,NA,Drop Box
WA,Pierce,NA,Buckley Library,123 S River Rd,Buckley,98321,NA,Drop Box
WA,Pierce,NA,Central District,902 S L Street,Tacoma,98405,NA,Drop Box
WA,Pierce,NA,Community Health Care at Salishan,1708 N 44th Street,Tacoma,98404,NA,Drop Box
WA,Pierce,NA,DuPont Ross Plaza,1500 Wilmington Drive,DuPont,98327,NA,Drop Box
WA,Pierce,NA,Eatonville Town Hall,201 Center St. W,Eatonville,98328,NA,Drop Box
WA,Pierce,NA,Edgewood City Hall,2224 104th Ave E,Edgewood,98372,NA,Drop Box
WA,Pierce,NA,Fife City Hall,5411 23rd Street E,Fife,98424,NA,Drop Box
WA,Pierce,NA,Fircrest City Hall,115 Ramsdell St.,Fircrest,98466,NA,Drop Box
WA,Pierce,NA,Fox Island Fire Station 53,906 Kamas Dr.,Fox Island,98333,NA,Drop Box
WA,Pierce,NA,Gig Harbor Fire Station 51,6711 Kimball Drive,Gig Harbor,98335,NA,Drop Box
WA,Pierce,NA,Gig Harbor Library,4424 Point Fosdick Dr NW,Gig Harbor,98335,NA,Drop Box
WA,Pierce,NA,Graham Fire & Rescue,10012 187th Street E,Puyallup,98375,NA,Drop Box
WA,Pierce,NA,Home Park,17220 8th Ave NW,Lakebay,98349,NA,Drop Box
WA,Pierce,NA,Kandle Park Police Substation,5140 N 26th St,Tacoma,98407,NA,Drop Box
WA,Pierce,NA,Key Center Food Market,9021 Key Peninsula Hwy NW,Lakebay,98349,NA,Drop Box
WA,Pierce,NA,Lake Kathryn Food Market,14220 92nd Ave NW,Gig Harbor,98329,NA,Drop Box
WA,Pierce,NA,Lakewood (SR512) Park & Ride,10417 South Tacoma Way,Lakewood,98499,NA,Drop Box
WA,Pierce,NA,Lakewood City Hall,6000 Main Street SW,Lakewood,98499,NA,Drop Box
WA,Pierce,NA,Milton City Hall,1000 Laurel St.,Milton,98354,NA,Drop Box
WA,Pierce,NA,Orting Public Safety,401 Washington Ave SE,Orting,98360,NA,Drop Box
WA,Pierce,NA,Parkland Spanaway Library,13718 Pacific Ave S,Tacoma,98444,NA,Drop Box
WA,Pierce,NA,Pierce County Election Center,2501 South 35th Street,Tacoma,98409,NA,Voting Center
WA,Pierce,NA,Pierce County Annex,2401 South 35th Street,Tacoma,98409,NA,Drop Box
WA,Pierce,NA,Purdy Fire Station,5210 144th St NW,Gig Harbor,98332,NA,Drop Box
WA,Pierce,NA,Puyallup Library,324 South Meridian,Puyallup,98371,NA,Drop Box
WA,Pierce,NA,Puyallup Tribal Administration,3009 Portland Ave E,Tacoma,98404,NA,Drop Box
WA,Pierce,NA,Roy City Hall,216 McNaughton Rd S,Roy,98580,NA,Drop Box
WA,Pierce,NA,Roy Y Park & Ride,SR 507 & Pacific Ave S,Spanaway,98387,NA,Drop Box
WA,Pierce,NA,Skookum Archers,11209 Shaw Rd E,Puyallup,98374,NA,Drop Box
WA,Pierce,NA,South Hill Library,15420 Meridian E,Puyallup,98375,NA,Drop Box
WA,Pierce,NA,South Prairie Fire Department,350 SR 162 E,South Prairie,98385,NA,Drop Box
WA,Pierce,NA,Steilacoom Library,2950 Steilacoom Blvd,Steilacoom,98388,NA,Drop Box
WA,Pierce,NA,Summit Library,5107 112th Street E,Tacoma,98446,NA,Drop Box
WA,Pierce,NA,Sumner Library,1116 Fryer Ave,Sumner,98390,NA,Drop Box
WA,Pierce,NA,TACID,6315 South 19th Street,Tacoma,98466,NA,Drop Box
WA,Pierce,NA,Tillicum Community Center,14916 Washington Ave SW,Lakewood,98498,NA,Drop Box
WA,Pierce,NA,Wapato Park,S 72nd St & S Ainsworth Ave,Tacoma,98408,NA,Drop Box
WA,Pierce,NA,West Pierce Fire & Rescue,3631 Drexler Dr W,University Place,98466,NA,Drop Box
WA,Pierce,NA,Wheelock Library,3722 N 26th St,Tacoma,98407,NA,Drop Box
WA,Pierce,NA,Wilkeson Town Hall,540 Church St,Wilkeson,98396,NA,Drop Box
WA,San Juan,NA,Elections Office - Drop Box,55 Second Street Suite A,Friday Harbor,98250,NA,*Open 8:00 AM to 4:30 PM weekdays* *Open 8:00 AM to 8:00 PM Election Day*
WA,San Juan,NA,Lopez Island Fire District Office,2228 Fisherman Bay Road,Lopez Village,98261,NA,NA
WA,San Juan,NA,Orcas Senior Center,62 Henry Rd,Eastsound,98245,NA,NA
WA,San Juan,NA,San Juan County Courthouse Drop Box,350 Court Street,Friday Harbor,98250,NA,NA
WA,Skagit,NA,Anacortes - Library,1220 10th Street,Anacortes,98221,NA,Behind the Anacortes Public Library near the book drop
WA,Skagit,NA,Anacortes - Skyline,6041 Sands Way,Anacortes,98221,NA,Skyline Beach Club
WA,Skagit,NA,Burlington,900 E. Fairhaven Street,Burlington,98233,NA,Burlington Parks and Recreation Building
WA,Skagit,NA,Concrete,45770 A Main Street,Concrete,98237,NA,Skagit Upriver Services/Library
WA,Skagit,NA,La Conner,614 E. Morris Street,La Conner,98257,NA,La Conner Regional Library
WA,Skagit,NA,Mt Vernon - Continental,1805 Continential Place,Mount Vernon,98273,NA,Mount Vernon Police Department
WA,Skagit,NA,Mt Vernon - Courthouse,700 S. 2nd St,Mount Vernon,98273,NA,In U-shaped parking lot accessed from 3rd Street
WA,Skagit,NA,Sedro-Woolley,111 Woodworth St.,Sedro-Woolley,98284,NA,In the alley between Eastern Ave and Metcalf
WA,Skagit,NA,Swinomish,17337 Reservation Rd,La Conner,98257,NA,Social Services Building front
WA,Skamania,NA,Canyon Creek Middle School (parking lot),9731 Washougal River Rd,Washougal,98671,NA,Canyon Creek Middle School (parking lot)
WA,Skamania,NA,Carson Transit Station (near Wind River Market),11 Carson Frontage Rd,Carson,98610,NA,Carson Transit Station (near Wind River Market)
WA,Skamania,NA,North Bonneville Central Business District (near city hall),210 CBD Mall Dr,North Bonneville,98639,NA,NA
WA,Skamania,NA,Skamania County Court House (north side near door),240 NW Vancouver Ave,Stevenson,98648,NA,NA
WA,Skamania,NA,The Little Church in the Valley (parking lot),342 Hemlock Rd,Carson (Stabler),98610,NA,NA
WA,Skamania,NA,Underwood Community Center (parking lot),951 Schoolhouse Rd,Underwood,98651,NA,Underwood Community Center (parking lot)
WA,Snohomish,NA,Arlington,135 North Washington Ave,Arlington,98223,NA,Box located outside of library. Box closes promptly at 8 pm November 3 2020. Not a drive up box - must park and walk. Library does not have key to ballot box.
WA,Snohomish,NA,Bothell,22833 Bothell Everett Hwy,Bothell,98021,NA,Box located in QFC parking lot. Box closes promptly at 8 pm November 3 2020. QFC does not have a key to the ballot box.
WA,Snohomish,NA,County Elections Office - a division of the Auditor's Office - Drop Box,3000 Rockefeller Ave,Everett,98201,NA,Voting in person available 9 am- 5 pm Monday through Friday. Election Day November 3 2020 8 am - 8 pm. Find us on the first floor of the west Administration Building
WA,Snohomish,NA,Darrington,2005 Cascade St,Darrington,98241,NA,Box located outside of library/city hall. Box closes promptly at 8 pm November 3 2020. Library/City Hall does not have key to ballot box.
WA,Snohomish,NA,Edmonds,650 Main St,Edmonds,98020,NA,Box located outside of library. Box closes promptly at 8 pm November 3 2020. Not a drive up box - must park and walk. Library does not have key to ballot box.
WA,Snohomish,NA,Everett - County Courthouse,3000 Rockefelller Ave,Everett,98201,NA,Box located at sidewalk on Wall St and Rockefeller Ave. Box closes promptly at 8 pm November 3 2020. Not a drive up box - must park and walk.
WA,Snohomish,NA,Everett - McCollum Park,600 128th St SE,Everett,98208,NA,Box located near bus loading area on east end of Park & Ride. Box closes promptly at 8 pm November 3 2020.
WA,Snohomish,NA,Everett Community College,1001 N Broadway Ave,Everett,98201,NA,Box located in parking lot near WSU building. Box closes promptly at 8 pm November 3 2020. College does not have a key to the ballot box.
WA,Snohomish,NA,Everett Mall,1402 SE Everett Mall Way,Everett,98208,NA,Box located in Sears area parking lot. Box closes promptly at 8 pm November 3 2020.
WA,Snohomish,NA,Gold Bar,5th and Orchard,Gold Bar,98251,NA,Box located at Gateway Park (Gazebo). Box closes promptly at 8 pm November 3 2020.
WA,Snohomish,NA,Granite Falls,815 E Galena St,Granite Falls,98252,NA,Box located outside of library. Box closes promptly at 8 pm November 3 2020. Not a drive up box - must park and walk. Library does not have key to ballot box.
WA,Snohomish,NA,Lake Stevens,1800 Main St,Lake Stevens,98258,NA,Box located near boat launch behind the Baptist church. Box closes promptly at 8 pm November 3 2020.
WA,Snohomish,NA,Lynnwood,19100 44th Ave W,Lynnwood,98036,NA,Box located outside of City Hall. Box closes promptly at 8 pm November 3 2020. City Hall does not have a key to the ballot box.
WA,Snohomish,NA,Lynnwood Library - accessible voting - Drop Box,19200 44th Avenue W,Lynnwood,98036,NA,Voting available Monday (November 4) 10am - 7pm and Tuesday (November 3 2020) 8am - 8pm.
WA,Snohomish,NA,Marysville,1049 State Ave,Marysville,98270,NA,Box located behind City Hall. Box closes promptly at 8 pm November 3 2020. City Hall does not have a key to the ballot box.
WA,Snohomish,NA,Mill Creek,15833 Mill Creek Blvd,Mill Creek,98012,NA,Box located in traffic circle near Post Office. Box closes promptly at 8 pm November 3 2020.
WA,Snohomish,NA,Monroe,1070 Village Way,Monroe,98272,NA,Box located outside of library. Box closes promptly at 8 pm November 3 2020. . Not a drive up box - must park and walk. Library does not have key to the ballot box.
WA,Snohomish,NA,Mountlake Terrace,23300 58th Ave W,Mountlake Terrace,98043,NA,Box located in library parking lot. Box closes promptly 8 pm November 3 2020. Library does not have key to the ballot box.
WA,Snohomish,NA,Mukilteo,4675 Harbour Pointe Blvd,Mukilteo,98275,NA,Box located outside of library. Box closes promptly at 8 pm November 3 2020. Not a drive up box - must park and walk. Library does not have key to the ballot box.
WA,Snohomish,NA,Smokey Point,3300 169th Pl NE,Arlington,98223,NA,Box located in north corner of parking lot. Box closes promptly at 8 pm November 3 2020.
WA,Snohomish,NA,Snohomish,311 Maple Ave,Snohomish,98290,NA,Box located outside of library. Box closes promptly at 8 pm November 3 2020. Not a drive up box - must park and walk. Library does not have a key to the ballot box.
WA,Snohomish,NA,Stanwood,9701 271st St NW,Stanwood,98292,NA,Box located in library back parking lot. Box closes promptly at 8 pm November 3 2020. Library does not have a key to the ballot box.
WA,Snohomish,NA,Sultan,319 Main St,Sultan,98294,NA,Box located outside of library/city hall (along drive to back of building). Box closes promptly at 8 pm November 3 2020. Library/City Hall does not have key to ballot box.
WA,Snohomish,NA,Tulalip,6722 Totem Beach Rd,Tulalip,98271,NA,Box located in Youth Center parking lot. Box closes promptly at 8 pm November 3 2020. Youth Center does not have a key to the ballot box.
WA,Snohomish,NA,Woodway,23920 113th P W,Woodway,98020,NA,Box located outside of Town Hall. Box closes promptly at 8 pm November 3 2020. Not a drive up box - must park and walk. Town does not have key to ballot box.
WA,Spokane,NA,Airway Heights Library - Ballot Drop Box,1213 S Lundstrom St,Airway Heights,99001,NA,Located in front of the Airway Heights Library.
WA,Spokane,NA,Argonne Library - Ballot Drop Box,4322 N Argonne Rd,Spokane Valley,99212,NA,Located near the front entrance of the Library.
WA,Spokane,NA,Cheney Library - Ballot Drop Box,610 First St,Cheney,99004,NA,Drop Box is located along the sidewalk Fleading from the parking lot to the front door of the library
WA,Spokane,NA,Deer Park Library - Ballot Drop Box,208 S Forest Ave,Deer Park,99006,NA,Located near exit from parking lot. Can be accessed from driver's side of car.
WA,Spokane,NA,Downtown Spokane Library - Ballot Drop Box,906 W Main St,Spokane,99201,NA,On Lincoln Street side of library.
WA,Spokane,NA,East Side Library - Ballot Drop Box,524 S Stone 07St,Spokane,99202,NA,Near the Book Return. Accessible from driver's side of car.
WA,Spokane,NA,Election Office - Ballot Drop Box Drive Up,1033 W Gardner Ave,Spokane,99201,NA,Drive up drop box located on Gardner Ave in front of the Elections Office. Accessible from driver's side
WA,Spokane,NA,Elections Office - Ballot Drop Box,1033 W Gardner Ave,Spokane,99201,NA,Drop Box slot is located next to the front entrance of the Elections Office.
WA,Spokane,NA,Fairfield Library - Ballot Drop Box,305 E Main St,Fairfield,99012,NA,Located to the right of the entryway to the library.
WA,Spokane,NA,Hillyard Library - Ballot Drop Box,4005 N Cook St,Spokane,99207,NA,Near front entrance to library.
WA,Spokane,NA,Indian Trail Library - Ballot Drop Box,4909 W Barnes Rd,Spokane,99208,NA,Near book deposit box. Can be accessed from driver's side of car.
WA,Spokane,NA,Latah Town Hall - Ballot Drop Box,108 E Market St,Latah,99018,NA,Located outside front door of the Latah Town Hall/Community Center.
WA,Spokane,NA,Liberty Lake Library - Ballot Drop Box,23123 E Mission Ave,Liberty Lake,99019,NA,Located on right side of the entrance to the library.
WA,Spokane,NA,Medical Lake Library - Ballot Drop Box,321 E Herb St,Medical Lake,99022,NA,Located near the book deposit. Can be accessed from driver's side of car.
WA,Spokane,NA,Millwood City Hall - Ballot Drop Box,9103 E Frederick Ave,Spokane,99206,NA,Located outside near Southeast corner of the Millwood City Hall building.
WA,Spokane,NA,Moran Prairie Library - Ballot Drop Box,6004 S Regal St,Spokane,99223,NA,Located in the library parking lot on the North side of the building. Can be accessed from driver's side
WA,Spokane,NA,North Spokane Library - Ballot Drop Box,44 E Hawthorne Rd,Spokane,99218,NA,On left side of main driveway directly South of the building entry. Can be accessed from driver's side
WA,Spokane,NA,Otis Orchards Library - Ballot Drop Box,22324 E Wellesley Ave,Otis Orchards,99027,NA,Located to the left of the entrance to the library.
WA,Spokane,NA,Rockford Town Hall - Ballot Drop Box,20 W Emma St,Rockford,99030,NA,Located outside near the Southeast corner of Town Hall.
WA,Spokane,NA,Shadle Park Library - Ballot Drop Box,2111 W Wellesley Ave,Spokane,99205,NA,To the right of the front entrance to the library.
WA,Spokane,NA,South Hill Library - Ballot Drop Box,3324 S Perry St,Spokane,99203,NA,Located near book deposit on South side of library. Accessible from driver's side of car.
WA,Spokane,NA,Spangle Town Hall - Ballot Drop Box,115 W 2nd St,Spangle,99031,NA,Located outside on right side of the entrance to town hall.
WA,Spokane,NA,Spokane Valley Library - Ballot Drop Box,12004 E Main St,Spokane Valley,99206,NA,Located near book deposit on East side of the library.
WA,Spokane,NA,STA Plaza Downtown Spokane - Ballot Drop Box,701 W Riverside Ave,Spokane,99201,NA,STA Plaza Drop Box is located in the Wall Street Entrance.
WA,Spokane,NA,Waverly Town Hall - Ballot Drop Box,255 Commercial St,Waverly,99038,NA,Outside town hall near bus stop.
WA,Stevens,NA,Fire District 1 - District Office (Loon Lake Station 2),3962 Hwy 292,Loon Lake,99148,NA,Open 7:00 AM to 8:00 PM on Election Day only.
WA,Stevens,NA,Lake Spokane Elementary School,6015 Hwy 291,Nine Mile Falls,99026,NA,Ballot Drop off site is located inside the school lobby.
WA,Stevens,NA,Stevens County Courthouse,215 S. Oak Steet,Colville,99114,NA,Located at the Elm Street Entrance of the Courthouse
WA,Stevens,NA,United Church of Christ,10 E Webster Ave,Chewelah,99109,NA,Open 7:00 AM to 8:00 PM on Election Day only.
WA,Thurston,NA,Bucoda,103 S Main St,Bucoda,98530,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly
WA,Thurston,NA,Church of the Good Shepherd,1601 North St SE,Olympia,98501,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Crain's Office Supply,1006 4th Ave E,Olympia,98501,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Fire District 3 Station 34,8407 Steilacoom Rd SE,Lacey,98513,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Fire District 3 Station 35,3701 Willamette Dr NE,Lacey,98516,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Gloria Dei Lutheran Church,1515 Harrison Ave NW,Olympia,98502,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Grand Mound Center,19949 Old Highway 99 SW,Rochester,98579,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Griffin Fire 13 Station 1,3707 Steamboat Loop NW,Olympia,98502,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Haggen NW Fresh,1313 Cooper Point Road SW,Olympia,98502,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Lacey City Hall,420 College St SE,Lacey,98503,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Lacey Post Office,5815 Lacey Blvd SE,Lacey,98503,NA,Next to drive-up mail boxes.
WA,Thurston,NA,Lackamas Elementary,16240 Bald Hill Rd SE,Yelm,98597,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Littlerock Fire 11,10828 Littlerock Rd SW,Olympia,98512,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptl
WA,Thurston,NA,Martin Village,5600 Martin Way E,Lacey,98516,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,McLane Black Lake Fire Station 95,5911 Black Lake Blvd SW,Olympia,98512,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptl
WA,Thurston,NA,Nisqually Tribal Admin Bldg,4820 She Nah Num Dr SE,Olympia,98513,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Olympia City Hall,601 4th Ave E,Olympia,98501,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Rainier City Hall,102 Rochester St W,Rainier,98576,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Rochester Fire 1 Station 3,18346 Albany St SW,Rochester,98579,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,South Bay Fire 8 Station 81,3506 Shincke Rd NE,Olympia,98506,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptl
WA,Thurston,NA,South Bay Fire 8 Station 83,5046 Boston Harbor Rd NE,Olympia,98506,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptl
WA,Thurston,NA,Tenino School District Administration,301 Old Highway 99 SE,Tenino,98589,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptl
WA,Thurston,NA,The Evergreen State College,2700 McCann Plaza Dr NW,Olympia,98505,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptl
WA,Thurston,NA,Thurston County Courthouse,2000 Lakeridge Dr SW,Olympia,98502,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Tumwater School Administration,621 Linwood Ave SW,Tumwater,98512,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Tumwater Timberland Library,7023 New Market St SW,Tumwater,98501,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Woodland Retirement and Assisted Living Community,4532 Intelco Loop SE,Lacey,98503,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptly at 8:00 p.m. on Election Day.
WA,Thurston,NA,Yelm Schools Administration,110 1st Street NE,Yelm,98597,NA,This box is opened 20 days prior to Election Day is available 24-hours a day and is locked promptl
WA,Wahkiakum,NA,Johnson Park,30 Rosburg School Road,Rosburg,98643,NA,Drop off only. Any questions call Auditor's Office. toll free line: 360-465-2654 or 360-795-3219.
WA,Wahkiakum,NA,Wahkiakum County Auditor's Office - Drop Box,64 Main Street 2nd Floor,Cathlamet,98612,NA,Ballot drop box can be found at the front counter.
WA,Wahkiakum,NA,Wahkiakum West,19 Miller Point Rd,Rosburg,98643,NA,In the lobby of the Wahkiakum West Communications office.
WA,Walla Walla,NA,Burbank - Columbia Elementary School,977 Maple St,Burbank,99323,NA,Located in the parking lot in front of the school.
WA,Walla Walla,NA,College Place City Hall,625 S. College Avenue,College Place,99324,NA,Located in the alley behind City Hall
WA,Walla Walla,NA,Corner of 5th & Poplar,310 W. Poplar St.,Walla Walla,99362,NA,Located next to the ramp outside of the Elections Center.
WA,Walla Walla,NA,Courthouse Alley,315 W. Main St.,Walla Walla,99362,NA,Located in the alley between the Courthouse & the Jail. Enter the alley from 5th St.
WA,Walla Walla,NA,Touchet School District,90 Champion St,Touchet,99360,NA,Located in parking lot in front of school.
WA,Walla Walla,NA,Waitsburg City Hall - Outside,147 Main St.,Waitsburg,99361,NA,Located on sidewalk by front door outside City Hall.
WA,Walla Walla,NA,Walla Walla County Auditor's Office,315 W. Main St. Room 201,Walla Walla,99362,NA,Located inside the Auditor's Office on the 2nd floor.
WA,Walla Walla,NA,Walla Walla County Elections Center - Drop Box,310 W. Poplar St.,Walla Walla,99362,NA,Located on the corner of 5th Ave. and Poplar St.
WA,Walla Walla,NA,Walla Walla Fire Station #2 - Parking Lot,170 N. Wilbur Ave.,Walla Walla,99362,NA,Located in parking lot on the corner of Wilbur Ave. and Tacoma St.
WA,Whatcom,NA,Acme Elementary School,5200 Turkington Rd.,Acme,98220,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Blaine Library,610 3rd St.,Blaine,98230,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Custer Elementary School,7660 Custer School Rd.,Custer,98240,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Deming Library,5044 Mt Baker Hwy.,Deming,98244,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Everson WECU,106 E. Main St.,Everson,98247,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Ferndale City Hall,2095 Main St.,Ferndale,98248,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,International Marketplace,480 Tyee Dr.,Point Roberts,98281,NA,Open: 20 days before Election Day during store hours (8:00 am - 10:00 pm). Close: 8:00 pm on Election Day
WA,Whatcom,NA,Kendall (North Fork Community Library),7506 Kendall Rd.,Maple Falls,98266,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Lummi Nation Admin Building,2665 Kwina Rd.,Bellingham,98226,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Lynden Library,216 4th St.,Lynden,98264,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Meridian (Laurel Grange),6172 Guide Meridian,Bellingham,98226,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,North Whatcom Fire & Rescue Station,4581 Birch-Bay Lynden Rd.,Blaine,98230,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Sehome Village,210 36th St.,Bellingham,98225,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Sudden Valley,2018 Lake Whatcom Blvd.,Bellingham,98229,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Sumas,534 Railroad Ave.,Sumas,98295,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Western Washington University,1880 Bill McDonald Pkwy.,Bellingham,98225,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Whatcom Community College,237 W. Kellogg Rd.,Bellingham,98226,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whatcom,NA,Whatcom County Courthouse South Parking Lot,201 Grand Avenue,Bellingham,98225,NA,Open: 20 days before Election Day Close: 8:00 pm on Election Day
WA,Whitman,NA,Alley behind Whitman County Elections Center,N 304 Main St,Colfax,99111,NA,NA
WA,Whitman,NA,Pullman City Hall Clerks Office,325 SE Paradise St,Pullman,99163,NA,NA
WA,Whitman,NA,WSU Campus,Compton Union Building,Pullman,99163,NA,Outside the west entrance to the CUB on Terrell Mall
WA,Yakima,NA,24 hour ballot return - East Martin Luther King Jr Blvd,213 N 1st St,Yakima,98901,NA,access from E. Martin Luther King Jr. Blvd (one way street headed East)
WA,Yakima,NA,24 hour ballot return - S 8th St & Edison Ave (by Sunnyside Fire Department),S 8th St & Edison Ave,Sunnside,98944,NA,enter from E Edison Ave
WA,Yakima,NA,24 hour ballot return - Yakama Nation Main Agency Offices,401 Fort Rd,Toppenish,98948,NA,the big red box in the Yakama Nation Main Agency Offices parking lot across the street from Legends
